ds,y,day,day_friday,day_monday,day_saturday,day_sunday,day_thursday,day_tuesday,day_wednesday
2021-10-21 00:00:00,378.0,thursday,False,False,False,False,True,False,False
2021-10-22 00:00:00,379.0,friday,True,False,False,False,False,False,False
2021-10-23 00:00:00,616.0,saturday,False,False,True,False,False,False,False
2021-10-24 00:00:00,835.0,sunday,False,False,False,True,False,False,False
2021-10-25 00:00:00,459.0,monday,False,True,False,False,False,False,False
2021-10-26 00:00:00,532.0,tuesday,False,False,False,False,False,True,False
2021-10-27 00:00:00,517.0,wednesday,False,False,False,False,False,False,True
2021-10-28 00:00:00,510.0,thursday,False,False,False,False,True,False,False
2021-10-29 00:00:00,550.0,friday,True,False,False,False,False,False,False
2021-10-30 00:00:00,770.0,saturday,False,False,True,False,False,False,False
2021-10-31 00:00:00,1066.0,sunday,False,False,False,True,False,False,False
2021-11-01 00:00:00,932.0,monday,False,True,False,False,False,False,False
2021-11-02 00:00:00,529.0,tuesday,False,False,False,False,False,True,False
2021-11-03 00:00:00,522.0,wednesday,False,False,False,False,False,False,True
2021-11-04 00:00:00,471.0,thursday,False,False,False,False,True,False,False
2021-11-05 00:00:00,496.0,friday,True,False,False,False,False,False,False
2021-11-06 00:00:00,570.0,saturday,False,False,True,False,False,False,False
2021-11-07 00:00:00,563.0,sunday,False,False,False,True,False,False,False
2021-11-08 00:00:00,379.0,monday,False,True,False,False,False,False,False
2021-11-09 00:00:00,346.0,tuesday,False,False,False,False,False,True,False
2021-11-10 00:00:00,358.0,wednesday,False,False,False,False,False,False,True
2021-11-11 00:00:00,518.0,thursday,False,False,False,False,True,False,False
2021-11-12 00:00:00,332.0,friday,True,False,False,False,False,False,False
2021-11-13 00:00:00,419.0,saturday,False,False,True,False,False,False,False
2021-11-14 00:00:00,630.0,sunday,False,False,False,True,False,False,False
2021-11-15 00:00:00,283.0,monday,False,True,False,False,False,False,False
2021-11-16 00:00:00,253.0,tuesday,False,False,False,False,False,True,False
2021-11-17 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-11-18 00:00:00,284.0,thursday,False,False,False,False,True,False,False
2021-11-19 00:00:00,326.0,friday,True,False,False,False,False,False,False
2021-11-20 00:00:00,398.0,saturday,False,False,True,False,False,False,False
2021-11-21 00:00:00,524.0,sunday,False,False,False,True,False,False,False
2021-11-22 00:00:00,261.0,monday,False,True,False,False,False,False,False
2021-11-23 00:00:00,267.0,tuesday,False,False,False,False,False,True,False
2021-11-24 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-11-25 00:00:00,310.0,thursday,False,False,False,False,True,False,False
2021-11-26 00:00:00,263.0,friday,True,False,False,False,False,False,False
2021-11-27 00:00:00,360.0,saturday,False,False,True,False,False,False,False
2021-11-28 00:00:00,587.0,sunday,False,False,False,True,False,False,False
2021-11-29 00:00:00,280.0,monday,False,True,False,False,False,False,False
2021-11-30 00:00:00,312.0,tuesday,False,False,False,False,False,True,False
2021-12-01 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-12-02 00:00:00,240.0,thursday,False,False,False,False,True,False,False
2021-12-03 00:00:00,289.0,friday,True,False,False,False,False,False,False
2021-12-04 00:00:00,318.0,saturday,False,False,True,False,False,False,False
2021-12-05 00:00:00,581.0,sunday,False,False,False,True,False,False,False
2021-12-06 00:00:00,,monday,False,True,False,False,False,False,False
2021-12-07 00:00:00,,tuesday,False,False,False,False,False,True,False
2021-12-08 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-12-09 00:00:00,244.0,thursday,False,False,False,False,True,False,False
2021-12-10 00:00:00,270.0,friday,True,False,False,False,False,False,False
2021-12-11 00:00:00,366.0,saturday,False,False,True,False,False,False,False
2021-12-12 00:00:00,556.0,sunday,False,False,False,True,False,False,False
2021-12-13 00:00:00,289.0,monday,False,True,False,False,False,False,False
2021-12-14 00:00:00,288.0,tuesday,False,False,False,False,False,True,False
2021-12-15 00:00:00,,wednesday,False,False,False,False,False,False,True
2021-12-16 00:00:00,309.0,thursday,False,False,False,False,True,False,False
2021-12-17 00:00:00,399.0,friday,True,False,False,False,False,False,False
2021-12-18 00:00:00,414.0,saturday,False,False,True,False,False,False,False
2021-12-19 00:00:00,594.0,sunday,False,False,False,True,False,False,False
2021-12-20 00:00:00,392.0,monday,False,True,False,False,False,False,False
2021-12-21 00:00:00,433.0,tuesday,False,False,False,False,False,True,False
2021-12-22 00:00:00,370.0,wednesday,False,False,False,False,False,False,True
2021-12-23 00:00:00,450.0,thursday,False,False,False,False,True,False,False
2021-12-24 00:00:00,1042.0,friday,True,False,False,False,False,False,False
2021-12-25 00:00:00,656.0,saturday,False,False,True,False,False,False,False
2021-12-26 00:00:00,735.0,sunday,False,False,False,True,False,False,False
2021-12-27 00:00:00,506.0,monday,False,True,False,False,False,False,False
2021-12-28 00:00:00,524.0,tuesday,False,False,False,False,False,True,False
2021-12-29 00:00:00,458.0,wednesday,False,False,False,False,False,False,True
2021-12-30 00:00:00,492.0,thursday,False,False,False,False,True,False,False
2021-12-31 00:00:00,923.0,friday,True,False,False,False,False,False,False
2022-01-01 00:00:00,,saturday,False,False,True,False,False,False,False
2022-01-02 00:00:00,879.0,sunday,False,False,False,True,False,False,False
2022-01-03 00:00:00,357.0,monday,False,True,False,False,False,False,False
2022-01-04 00:00:00,67.0,tuesday,False,False,False,False,False,True,False
2022-01-05 00:00:00,,wednesday,False,False,False,False,False,False,True
2022-01-06 00:00:00,324.0,thursday,False,False,False,False,True,False,False
2022-01-07 00:00:00,285.0,friday,True,False,False,False,False,False,False
2022-01-08 00:00:00,311.0,saturday,False,False,True,False,False,False,False
2022-01-09 00:00:00,482.0,sunday,False,False,False,True,False,False,False
2022-01-10 00:00:00,258.0,monday,False,True,False,False,False,False,False
2022-01-11 00:00:00,280.0,tuesday,False,False,False,False,False,True,False
2022-01-12 00:00:00,,wednesday,False,False,False,False,False,False,True
2022-01-13 00:00:00,232.0,thursday,False,False,False,False,True,False,False
2022-01-14 00:00:00,297.0,friday,True,False,False,False,False,False,False
2022-01-15 00:00:00,313.0,saturday,False,False,True,False,False,False,False
2022-01-16 00:00:00,489.0,sunday,False,False,False,True,False,False,False
2022-01-17 00:00:00,286.0,monday,False,True,False,False,False,False,False
2022-01-18 00:00:00,255.0,tuesday,False,False,False,False,False,True,False
2022-01-19 00:00:00,,wednesday,False,False,False,False,False,False,True
2022-01-20 00:00:00,303.0,thursday,False,False,False,False,True,False,False
2022-01-21 00:00:00,303.0,friday,True,False,False,False,False,False,False
2022-01-22 00:00:00,353.0,saturday,False,False,True,False,False,False,False
2022-01-23 00:00:00,544.0,sunday,False,False,False,True,False,False,False
2022-01-24 00:00:00,266.0,monday,False,True,False,False,False,False,False
2022-01-25 00:00:00,283.0,tuesday,False,False,False,False,False,True,False
2022-01-26 00:00:00,,wednesday,False,False,False,False,False,False,True
2022-01-27 00:00:00,358.0,thursday,False,False,False,False,True,False,False
2022-01-28 00:00:00,279.0,friday,True,False,False,False,False,False,False
2022-01-29 00:00:00,345.0,saturday,False,False,True,False,False,False,False
2022-01-30 00:00:00,532.0,sunday,False,False,False,True,False,False,False
2022-01-31 00:00:00,271.0,monday,False,True,False,False,False,False,False
2022-02-01 00:00:00,258.0,tuesday,False,False,False,False,False,True,False
