ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,event_score,event_score_lower,event_score_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-21,557.9798032496076,96.86891931771646,409.0349511058639,557.9798032496076,557.9798032496076,-301.13512592629615,-301.13512592629615,-301.13512592629615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.260775,23.260775,23.260775,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-12.008163905124556,-12.008163905124556,-12.008163905124556,-15.205453600940203,-15.205453600940203,-15.205453600940203,-11.677641015245946,-11.677641015245946,-11.677641015245946,-72.64221339982355,-72.64221339982355,-72.64221339982355,-216.484748621348,-216.484748621348,-216.484748621348,0.0,0.0,0.0,256.84467732331143
2021-01-22,558.1131209120879,117.06902945390422,437.45761937292775,558.1131209120879,558.1131209120879,-285.8684358890343,-285.8684358890343,-285.8684358890343,25.751249,25.751249,25.751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-9.278134370959288,-9.278134370959288,-9.278134370959288,-3.298636298209489,-3.298636298209489,-3.298636298209489,-23.34490278381139,-23.34490278381139,-23.34490278381139,-55.20975884673069,-55.20975884673069,-55.20975884673069,-221.38054267134427,-221.38054267134427,-221.38054267134427,0.0,0.0,0.0,272.2446850230536
2021-01-23,558.2464385745683,257.33843789108727,589.9434884155653,558.2464385745683,558.2464385745683,-138.82853409564768,-138.82853409564768,-138.82853409564768,0.0,0.0,0.0,0.0,0.0,0.0,46.071011,46.071011,46.071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,0.34229517673800536,0.34229517673800536,0.34229517673800536,-6.7453465700525905,-6.7453465700525905,-6.7453465700525905,-30.597524964270992,-30.597524964270992,-30.597524964270992,87.02938896637266,87.02938896637266,87.02938896637266,-226.2002182387583,-226.2002182387583,-226.2002182387583,0.0,0.0,0.0,419.4179044789206
2021-01-24,558.3797562370487,485.70441292441814,799.6732399241599,558.3797562370487,558.3797562370487,86.25174861479569,86.25174861479569,86.25174861479569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.924025,74.924025,74.924025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,28.060740703204438,28.060740703204438,28.060740703204438,-1.8886184597282207,-1.8886184597282207,-1.8886184597282207,-36.58882154812893,-36.58882154812893,-36.58882154812893,289.0001142920332,289.0001142920332,289.0001142920332,-230.80910638044202,-230.80910638044202,-230.80910638044202,0.0,0.0,0.0,644.6315048518444
2021-01-25,558.5130734814097,115.86312178456268,429.43848429442636,558.5130734814097,558.5130734814097,-289.00033800597976,-289.00033800597976,-289.00033800597976,0.0,0.0,0.0,27.586698,27.586698,27.586698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-11.575893288987023,-11.575893288987023,-11.575893288987023,2.0280977582753037,2.0280977582753037,2.0280977582753037,-32.80484475832392,-32.80484475832392,-32.80484475832392,-42.36130620771412,-42.36130620771412,-42.36130620771412,-235.0631385092786,-235.0631385092786,-235.0631385092786,0.0,0.0,0.0,269.51273547542996
2021-01-26,558.6463907257707,36.07901090164379,359.6740134131043,558.6463907257707,558.6463907257707,-355.7088690324637,-355.7088690324637,-355.7088690324637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.031354,20.031354,20.031354,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-21.64790617705995,-21.64790617705995,-21.64790617705995,1.088085865954458,1.088085865954458,1.088085865954458,-34.381501754076,-34.381501754076,-34.381501754076,-95.24816108226736,-95.24816108226736,-95.24816108226736,-238.81280177313644,-238.81280177313644,-238.81280177313644,0.0,0.0,0.0,202.93752169330702
2021-01-27,558.7797079701318,38.335710482175095,340.4167808094336,558.7797079701318,558.7797079701318,-368.70997253168,-368.70997253168,-368.70997253168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8428416,17.8428416,17.8428416,-8.38584428893841,-8.38584428893841,-8.38584428893841,-16.234565268377633,-16.234565268377633,-16.234565268377633,-4.238648190530334,-4.238648190530334,-4.238648190530334,-21.452914388908887,-21.452914388908887,-21.452914388908887,-110.56806372223998,-110.56806372223998,-110.56806372223998,-241.9073435410624,-241.9073435410624,-241.9073435410624,0.0,0.0,0.0,190.06973543845174
2021-01-28,558.9130252144928,81.8856627276901,394.08384395678854,558.9130252144928,558.9130252144928,-316.89081788477057,-316.89081788477057,-316.89081788477057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.260775,23.260775,23.260775,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,-0.049499957930321165,-0.049499957930321165,-0.049499957930321165,-11.445406031656818,-11.445406031656818,-11.445406031656818,-3.4790246373350944,-3.4790246373350944,-3.4790246373350944,-72.64221339951399,-72.64221339951399,-72.64221339951399,-244.19910452732623,-244.19910452732623,-244.19910452732623,0.0,0.0,0.0,242.02220732972222
2021-01-29,559.0463424588538,108.66008454476058,424.4380958022178,559.0463424588538,559.0463424588538,-293.8011684257891,-293.8011684257891,-293.8011684257891,25.751249,25.751249,25.751249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,6.956447431011867,6.956447431011867,6.956447431011867,-2.5152930546087844,-2.5152930546087844,-2.5152930546087844,-7.89366422544094,-7.89366422544094,-7.89366422544094,-55.20975884757682,-55.20975884757682,-55.20975884757682,-245.54785700922417,-245.54785700922417,-245.54785700922417,0.0,0.0,0.0,265.2451740330647
2021-01-30,559.1796597032148,259.15919264762795,580.6704340964227,559.1796597032148,559.1796597032148,-148.29294257375898,-148.29294257375898,-148.29294257375898,0.0,0.0,0.0,0.0,0.0,0.0,46.071011,46.071011,46.071011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.38584428893841,-8.38584428893841,-8.38584428893841,10.502693509406102,10.502693509406102,10.502693509406102,-17.712151980462455,-17.712151980462455,-17.712151980462455,-9.470321221193027,-9.470321221193027,-9.470321221193027,87.02938896621033,87.02938896621033,87.02938896621033,-245.82502504937545,-245.82502504937545,-245.82502504937545,0.0,0.0,0.0,410.88671712945586
