ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holiday_score,holiday_score_lower,holiday_score_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-07-14,553.6053669088989,871.1962536705139,1192.6449545734042,553.6053669088989,553.6053669088989,476.40488994052924,476.40488994052924,476.40488994052924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3020766,17.3020766,17.3020766,254.51182683434834,254.51182683434834,254.51182683434834,232.4576419614446,232.4576419614446,232.4576419614446,-11.129215400289056,-11.129215400289056,-11.129215400289056,15.88132367319277,15.88132367319277,15.88132367319277,-111.54139222259683,-111.54139222259683,-111.54139222259683,333.43445532877774,333.43445532877774,333.43445532877774,0.0,0.0,0.0,1030.010256849428
2021-07-15,553.4438880806068,704.9611770669732,1024.3289893804872,553.4438880806068,553.4438880806068,314.41171193898833,314.41171193898833,314.41171193898833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222557,23.222557,23.222557,0.0,0.0,0.0,0.0,0.0,0.0,36.77222588868535,36.77222588868535,36.77222588868535,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,25.011031051614896,25.011031051614896,25.011031051614896,-70.09780079924312,-70.09780079924312,-70.09780079924312,347.73728684954614,347.73728684954614,347.73728684954614,0.0,0.0,0.0,867.8556000195952
2021-07-16,553.2824092523149,731.527641272492,1048.263239852582,553.2824092523149,553.2824092523149,344.35241182726816,344.35241182726816,344.35241182726816,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.143096820575153,31.143096820575153,31.143096820575153,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,16.219460983504703,16.219460983504703,16.219460983504703,-47.96192757512368,-47.96192757512368,-47.96192757512368,361.1712425818167,361.1712425818167,361.1712425818167,0.0,0.0,0.0,897.634821079583
2021-07-17,553.120930424023,910.6211758296115,1217.4321467917225,553.120930424023,553.120930424023,515.0048083300776,515.0048083300776,515.0048083300776,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.73594085463026,54.73594085463026,54.73594085463026,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,20.615246017559798,20.615246017559798,20.615246017559798,86.41878343545105,86.41878343545105,86.41878343545105,373.8500840399962,373.8500840399962,373.8500840399962,0.0,0.0,0.0,1068.1257387541004
2021-07-18,552.959451595731,1162.1269434994592,1476.9786621694138,552.959451595731,552.959451595731,759.6511597724046,759.6511597724046,759.6511597724046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.98219547430008,92.98219547430008,92.98219547430008,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,31.09750263722963,31.09750263722963,31.09750263722963,280.76556705310594,280.76556705310594,280.76556705310594,385.9033972449986,385.9033972449986,385.9033972449986,0.0,0.0,0.0,1312.6106113681358
2021-07-19,552.797972767439,799.8254063127796,1105.685108169256,552.797972767439,552.797972767439,401.4962012648517,401.4962012648517,401.4962012648517,0.0,0.0,0.0,26.792393999999998,26.792393999999998,26.792393999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.13363295679553,49.13363295679553,49.13363295679553,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,33.802601119725075,33.802601119725075,33.802601119725075,-45.10864461241414,-45.10864461241414,-45.10864461241414,397.47121292047035,397.47121292047035,397.47121292047035,0.0,0.0,0.0,954.2941740322907
2021-07-20,552.6364939391469,740.4544375157059,1068.3620318802086,552.6364939391469,552.6364939391469,356.90009992778613,356.90009992778613,356.90009992778613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025838,20.025838,20.025838,0.0,0.0,0.0,40.67639040523588,40.67639040523588,40.67639040523588,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,32.111914568165425,32.111914568165425,32.111914568165425,-92.47458527666278,-92.47458527666278,-92.47458527666278,408.69829479921304,408.69829479921304,408.69829479921304,0.0,0.0,0.0,909.5365938669331
2021-07-21,552.475015110855,742.4785271786765,1057.4917822441912,552.475015110855,552.475015110855,346.28917386747247,346.28917386747247,346.28917386747247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3020766,17.3020766,17.3020766,38.102310774358635,38.102310774358635,38.102310774358635,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.3818612712771543,3.3818612712771543,3.3818612712771543,32.45005187847735,32.45005187847735,32.45005187847735,-111.541392222304,-111.541392222304,-111.541392222304,419.7282553154178,419.7282553154178,419.7282553154178,0.0,0.0,0.0,898.7641889783274
2021-07-22,552.313536282563,802.5532370764946,1116.0223645414549,552.313536282563,552.313536282563,405.8255222481549,405.8255222481549,405.8255222481549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222557,23.222557,23.222557,0.0,0.0,0.0,0.0,0.0,0.0,45.2256586464836,45.2256586464836,45.2256586464836,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,33.464463809413154,33.464463809413154,33.464463809413154,-70.0978007989447,-70.0978007989447,-70.0978007989447,430.697664400616,430.697664400616,430.697664400616,0.0,0.0,0.0,958.1390585307179
2021-07-23,552.152057454271,837.5666236381267,1147.9520490684722,552.152057454271,552.152057454271,444.5234523679395,444.5234523679395,444.5234523679395,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.75506081866711,50.75506081866711,50.75506081866711,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,35.83142498159666,35.83142498159666,35.83142498159666,-47.96192757606938,-47.96192757606938,-47.96192757606938,441.7303191253417,441.7303191253417,441.7303191253417,0.0,0.0,0.0,996.6755098222105
2021-07-24,551.990578625979,995.2769753211162,1321.3359512605696,551.990578625979,551.990578625979,603.8537719462369,603.8537719462369,603.8537719462369,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.50314908160982,64.50314908160982,64.50314908160982,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.1934057300879832,3.1934057300879832,3.1934057300879832,30.759365326917703,30.759365326917703,30.759365326917703,86.41878343529179,86.41878343529179,86.41878343529179,452.93183942933535,452.93183942933535,452.93183942933535,0.0,0.0,0.0,1155.8443505722157
2021-07-25,551.8290997976869,1206.3438537938262,1507.5857060009307,551.8290997976869,551.8290997976869,809.8191118946078,809.8191118946078,809.8191118946078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.66879666664889,64.66879666664889,64.66879666664889,-15.031678975395874,-15.031678975395874,-15.031678975395874,-15.275237306450828,-15.275237306450828,-15.275237306450828,21.62965794849559,21.62965794849559,21.62965794849559,280.76556705314727,280.76556705314727,280.76556705314727,464.3847481748116,464.3847481748116,464.3847481748116,0.0,0.0,0.0,1361.6482116922948
2021-07-26,551.6676209693949,856.7544785177116,1177.627104918473,551.6676209693949,551.6676209693949,457.22090124377326,457.22090124377326,457.22090124377326,0.0,0.0,0.0,26.792393999999998,26.792393999999998,26.792393999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.185363484859746,26.185363484859746,26.185363484859746,-15.031678975395874,-15.031678975395874,-15.031678975395874,-5.852460246992252,-5.852460246992252,-5.852460246992252,20.277108707247866,20.277108707247866,20.277108707247866,-45.10864461300975,-45.10864461300975,-45.10864461300975,476.1441823719233,476.1441823719233,476.1441823719233,0.0,0.0,0.0,1008.8885222131681
2021-07-27,551.5061419551396,813.0356433529086,1129.3312982568539,551.5061419551396,551.5061419551396,413.4879025791148,413.4879025791148,413.4879025791148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025838,20.025838,20.025838,0.0,0.0,0.0,17.728120933300094,17.728120933300094,17.728120933300094,-15.031678975395874,-15.031678975395874,-15.031678975395874,-5.852460246992252,-5.852460246992252,-5.852460246992252,18.58642215568821,18.58642215568821,18.58642215568821,-92.47458527820362,-92.47458527820362,-92.47458527820362,488.23436692401833,488.23436692401833,488.23436692401833,0.0,0.0,0.0,964.9940445342544
2021-07-28,551.3446629408842,806.3355825878816,1122.247493850083,551.3446629408842,551.3446629408842,416.57494315264137,416.57494315264137,416.57494315264137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3020766,17.3020766,17.3020766,27.470372385566048,27.470372385566048,27.470372385566048,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,21.62965794849559,21.62965794849559,21.62965794849559,-111.54139222205102,-111.54139222205102,-111.54139222205102,500.64596298912636,500.64596298912636,500.64596298912636,0.0,0.0,0.0,967.9196060935255
2021-07-29,551.1831839266289,865.2330800106962,1179.6264594816464,551.1831839266289,551.1831839266289,475.2748832784384,475.2748832784384,475.2748832784384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222557,23.222557,23.222557,0.0,0.0,0.0,0.0,0.0,0.0,32.038303544318325,32.038303544318325,32.038303544318325,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,20.277108707247866,20.277108707247866,20.277108707247866,-70.09780079975476,-70.09780079975476,-70.09780079975476,513.3343805338749,513.3343805338749,513.3343805338749,0.0,0.0,0.0,1026.4580672050672
2021-07-30,551.0217049123735,909.1950278495458,1207.8376086019168,551.0217049123735,551.0217049123735,514.134211022464,514.134211022464,514.134211022464,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.877019164942176,35.877019164942176,35.877019164942176,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.5703168124663263,3.5703168124663263,3.5703168124663263,20.95338332787172,20.95338332787172,20.95338332787172,-47.96192757611207,-47.96192757611207,-47.96192757611207,526.2191194336339,526.2191194336339,526.2191194336339,0.0,0.0,0.0,1065.1559159348376
2021-07-31,550.8602258981182,1080.2999038819285,1392.0662269614575,550.8602258981182,550.8602258981182,676.5030687600294,676.5030687600294,676.5030687600294,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.90010912499977,50.90010912499977,50.90010912499977,-15.031678975395874,-15.031678975395874,-15.031678975395874,2.4395835653312967,2.4395835653312967,2.4395835653312967,17.910147535064354,17.910147535064354,17.910147535064354,86.41878343529042,86.41878343529042,86.41878343529042,539.1841761997391,539.1841761997391,539.1841761997391,0.0,0.0,0.0,1227.3632946581474
2021-08-01,550.6987468838628,1313.3708095285376,1629.162181825859,550.6987468838628,550.6987468838628,911.5091989865211,911.5091989865211,911.5091989865211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.66410712499979,78.66410712499979,78.66410712499979,-15.031678975395874,-15.031678975395874,-15.031678975395874,2.4395835653312967,2.4395835653312967,2.4395835653312967,17.910147535064354,17.910147535064354,17.910147535064354,280.7655670528358,280.7655670528358,280.7655670528358,552.0795248086855,552.0795248086855,552.0795248086855,0.0,0.0,0.0,1462.2079458703838
2021-08-02,550.5372678696074,932.3899258708915,1247.3142041530493,550.5372678696074,550.5372678696074,545.922104424086,545.922104424086,545.922104424086,0.0,0.0,0.0,26.792393999999998,26.792393999999998,26.792393999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.307098120201864,26.307098120201864,26.307098120201864,-15.031678975395874,-15.031678975395874,-15.031678975395874,-3.025627129154678,-3.025627129154678,-3.025627129154678,17.572010224752418,17.572010224752418,17.572010224752418,-45.10864461306345,-45.10864461306345,-45.10864461306345,564.7236509169476,564.7236509169476,564.7236509169476,0.0,0.0,0.0,1096.4593722936934
2021-08-03,550.3757888553521,883.1936753800103,1206.9585899958681,550.3757888553521,550.3757888553521,498.86221317565867,498.86221317565867,498.86221317565867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025838,20.025838,20.025838,0.0,0.0,0.0,14.429708693456504,14.429708693456504,14.429708693456504,-15.031678975395874,-15.031678975395874,-15.031678975395874,-3.402538211533022,-3.402538211533022,-3.402538211533022,12.8380878803854,12.8380878803854,12.8380878803854,-92.47458527762595,-92.47458527762595,-92.47458527762595,576.9070897598282,576.9070897598282,576.9070897598282,0.0,0.0,0.0,1049.2380020310106
2021-08-04,550.2143098410967,886.375136135354,1205.425515726336,550.2143098410967,550.2143098410967,488.6777664189392,488.6777664189392,488.6777664189392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3020766,17.3020766,17.3020766,11.822268609655744,11.822268609655744,11.822268609655744,-15.031678975395874,-15.031678975395874,-15.031678975395874,-2.271804964397992,-2.271804964397992,-2.271804964397992,11.823675949449608,11.823675949449608,11.823675949449608,-111.541392222122,-111.541392222122,-111.541392222122,588.3968900314055,588.3968900314055,588.3968900314055,0.0,0.0,0.0,1038.892076260036
2021-08-05,550.0528308268414,953.495117358223,1267.9710678312347,550.0528308268414,550.0528308268414,556.4757908663559,556.4757908663559,556.4757908663559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.222557,23.222557,23.222557,0.0,0.0,0.0,0.0,0.0,0.0,27.631691871977434,27.631691871977434,27.631691871977434,-15.031678975395874,-15.031678975395874,-15.031678975395874,0.17811707106123817,0.17811707106123817,0.17811707106123817,19.26269677631207,19.26269677631207,19.26269677631207,-70.09780080056483,-70.09780080056483,-70.09780080056483,598.9418997949432,598.9418997949432,598.9418997949432,0.0,0.0,0.0,1106.5286216931972
2021-08-06,549.891351812586,981.6853104721416,1298.384016787996,549.891351812586,549.891351812586,594.1596011081659,594.1596011081659,594.1596011081659,26.384998,26.384998,26.384998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.84278198392771,33.84278198392771,33.84278198392771,-15.031678975395874,-15.031678975395874,-15.031678975395874,1.8742169417637822,1.8742169417637822,1.8742169417637822,20.615246017559798,20.615246017559798,20.615246017559798,-47.96192757576531,-47.96192757576531,-47.96192757576531,608.2787467000036,608.2787467000036,608.2787467000036,0.0,0.0,0.0,1144.050952920752
2021-08-07,549.7298727983307,1140.762695224545,1456.0365794677655,549.7298727983307,549.7298727983307,750.3310600652655,750.3310600652655,750.3310600652655,0.0,0.0,0.0,0.0,0.0,0.0,45.582057000000006,45.582057000000006,45.582057000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7739124689167,47.7739124689167,47.7739124689167,-15.031678975395874,-15.031678975395874,-15.031678975395874,-0.010338470127933133,-0.010338470127933133,-0.010338470127933133,17.233872914440497,17.233872914440497,17.233872914440497,86.41878343558606,86.41878343558606,86.41878343558606,616.1383641607629,616.1383641607629,616.1383641607629,0.0,0.0,0.0,1300.0609328635962
2021-08-08,549.5683937840754,1378.752109181805,1685.4482445583176,549.5683937840754,549.5683937840754,980.7457080493579,980.7457080493579,980.7457080493579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.346055,73.346055,73.346055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.72724273819681,77.72724273819681,77.72724273819681,-15.031678975395874,-15.031678975395874,-15.031678975395874,3.1934057300879832,3.1934057300879832,3.1934057300879832,16.219460983504703,16.219460983504703,16.219460983504703,280.7655670526835,280.7655670526835,280.7655670526835,622.2528982584773,622.2528982584773,622.2528982584773,0.0,0.0,0.0,1530.3141018334331
2021-08-09,549.40691476982,1008.4827409997666,1314.8660992374944,549.40691476982,549.40691476982,613.3646189832366,613.3646189832366,613.3646189832366,0.0,0.0,0.0,26.792393999999998,26.792393999999998,26.792393999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.110446124999775,32.110446124999775,32.110446124999775,-15.031678975395874,-15.031678975395874,-15.031678975395874,2.4395835653312967,2.4395835653312967,2.4395835653312967,17.910147535064354,17.910147535064354,17.910147535064354,-45.10864461266114,-45.10864461266114,-45.10864461266114,626.362817470898,626.362817470898,626.362817470898,0.0,0.0,0.0,1162.7715337530567
2021-08-10,549.2454357555646,957.2615549598114,1270.8224145499407,549.2454357555646,549.2454357555646,561.1158779463257,561.1158779463257,561.1158779463257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.025838,20.025838,20.025838,0.0,0.0,0.0,25.366423939637514,25.366423939637514,25.366423939637514,-15.031678975395874,-15.031678975395874,-15.031678975395874,-2.271804964397992,-2.271804964397992,-2.271804964397992,22.644069879431374,22.644069879431374,22.644069879431374,-92.47458527783459,-92.47458527783459,-92.47458527783459,628.2240392845227,628.2240392845227,628.2240392845227,0.0,0.0,0.0,1110.3613137018901
