ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,day_friday,day_friday_lower,day_friday_upper,day_monday,day_monday_lower,day_monday_upper,day_saturday,day_saturday_lower,day_saturday_upper,day_sunday,day_sunday_lower,day_sunday_upper,day_thursday,day_thursday_lower,day_thursday_upper,day_tuesday,day_tuesday_lower,day_tuesday_upper,day_wednesday,day_wednesday_lower,day_wednesday_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,precipitation_sum_mm,precipitation_sum_mm_lower,precipitation_sum_mm_upper,temperature_2m_mean,temperature_2m_mean_lower,temperature_2m_mean_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-23,560.0959438492935,233.9222357953936,580.3315945478906,560.0959438492935,560.0959438492935,-150.72650260183562,-150.72650260183562,-150.72650260183562,0.0,0.0,0.0,0.0,0.0,0.0,56.352638,56.352638,56.352638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66677278366909,16.66677278366909,16.66677278366909,-6.293508771315116,-6.293508771315116,-6.293508771315116,-33.39235644501579,-33.39235644501579,-33.39235644501579,78.77953079978991,78.77953079978991,78.77953079978991,-246.17280618529463,-246.17280618529463,-246.17280618529463,0.0,0.0,0.0,409.36944124745787
2021-01-24,560.2464394788069,456.5661371995622,797.5834221075294,560.2464394788069,560.2464394788069,73.10763427912349,73.10763427912349,73.10763427912349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.096095,107.096095,107.096095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.40307731567577,65.40307731567577,65.40307731567577,-1.762109139764264,-1.762109139764264,-1.762109139764264,-39.93090854455997,-39.93090854455997,-39.93090854455997,256.38149620364004,256.38149620364004,256.38149620364004,-248.67693924019235,-248.67693924019235,-248.67693924019235,0.0,0.0,0.0,633.3540737579303
2021-01-25,560.3969350406345,96.44384107556822,432.01797420129594,560.3969350406345,560.3969350406345,-298.4389829487832,-298.4389829487832,-298.4389829487832,0.0,0.0,0.0,23.164836,23.164836,23.164836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.744215290407283,-10.744215290407283,-10.744215290407283,1.8922454018090034,1.8922454018090034,1.8922454018090034,-35.80129669221628,-35.80129669221628,-35.80129669221628,-37.377541616544455,-37.377541616544455,-37.377541616544455,-250.31722604183145,-250.31722604183145,-250.31722604183145,0.0,0.0,0.0,261.9579520918513
2021-01-26,560.5474306024621,24.250618518500332,368.09059820575305,560.5474306024621,560.5474306024621,-365.69693895052734,-365.69693895052734,-365.69693895052734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.952192199999999,8.952192199999999,8.952192199999999,0.0,0.0,0.0,-27.554575785528062,-27.554575785528062,-27.554575785528062,1.0152003118314195,1.0152003118314195,1.0152003118314195,-37.52196829735948,-37.52196829735948,-37.52196829735948,-87.12225560314847,-87.12225560314847,-87.12225560314847,-251.02010756185078,-251.02010756185078,-251.02010756185078,0.0,0.0,0.0,194.85049165193476
2021-01-27,560.6979261642897,7.214523304099342,346.56583735004654,560.6979261642897,560.6979261642897,-371.116601650906,-371.116601650906,-371.116601650906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6495266,5.6495266,5.6495266,-21.71765639989343,-21.71765639989343,-21.71765639989343,-3.9547218647082243,-3.9547218647082243,-3.9547218647082243,-23.412461135185207,-23.412461135185207,-23.412461135185207,-98.68128007797264,-98.68128007797264,-98.68128007797264,-250.7176651730399,-250.7176651730399,-250.7176651730399,0.0,0.0,0.0,189.58132451338372
2021-01-28,560.8484217261173,70.7269203994832,417.98793839681207,560.8484217261173,560.8484217261173,-315.8880708662167,-315.8880708662167,-315.8880708662167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7538028,14.7538028,14.7538028,0.0,0.0,0.0,0.0,0.0,0.0,0.27826374224429073,0.27826374224429073,0.27826374224429073,-10.678734221203037,-10.678734221203037,-10.678734221203037,-3.796804836552673,-3.796804836552673,-3.796804836552673,-66.81635210022839,-66.81635210022839,-66.81635210022839,-249.34998250823267,-249.34998250823267,-249.34998250823267,0.0,0.0,0.0,244.9603508599006
2021-01-29,560.9989172879449,116.43084086434638,445.0537702976983,560.9989172879449,560.9989172879449,-282.0522211114387,-282.0522211114387,-282.0522211114387,20.940312,20.940312,20.940312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.978820802630365,9.978820802630365,9.978820802630365,-2.3468058664159868,-2.3468058664159868,-2.3468058664159868,-8.614685330953648,-8.614685330953648,-8.614685330953648,-45.16359760526577,-45.16359760526577,-45.16359760526577,-246.8674443088033,-246.8674443088033,-246.8674443088033,0.0,0.0,0.0,278.9466961765062
2021-01-30,561.1494128497725,271.77921851741655,600.6900818175588,561.1494128497725,561.1494128497725,-134.96178790023137,-134.96178790023137,-134.96178790023137,0.0,0.0,0.0,0.0,0.0,0.0,56.352638,56.352638,56.352638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.491579576182886,29.491579576182886,29.491579576182886,-16.525701487720262,-16.525701487720262,-16.525701487720262,-10.335356936096852,-10.335356936096852,-10.335356936096852,78.77953079988714,78.77953079988714,78.77953079988714,-243.2328982763014,-243.2328982763014,-243.2328982763014,0.0,0.0,0.0,426.18762494954115
2021-01-31,561.2999084116001,490.41046667901895,822.4658349909527,561.2999084116001,561.2999084116001,96.30771008290886,96.30771008290886,96.30771008290886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.096095,107.096095,107.096095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.34982340648594,78.34982340648594,78.34982340648594,-14.625437126102165,-14.625437126102165,-14.625437126102165,-14.1208344674119,-14.1208344674119,-14.1208344674119,256.3814962036092,256.3814962036092,256.3814962036092,-238.42360952718622,-238.42360952718622,-238.42360952718622,0.0,0.0,0.0,657.607618494509
2021-02-01,561.4504039734277,122.30175913979195,469.81571742498676,561.4504039734277,561.4504039734277,-260.482153616299,-260.482153616299,-260.482153616299,0.0,0.0,0.0,23.164836,23.164836,23.164836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.328330936104864,9.328330936104864,9.328330936104864,0.284329403516766,0.284329403516766,0.284329403516766,-14.1208344674119,-14.1208344674119,-14.1208344674119,-37.37754161677096,-37.37754161677096,-37.37754161677096,-232.43294293563287,-232.43294293563287,-232.43294293563287,0.0,0.0,0.0,300.9682503571287
